"","X","REGION","ISLAND","SPECIES","TAXONNAME","FAMILY","CONSUMER_GROUP","SpecCode","Genus","SpeciesRefNo","Author","FBname","PicPreferredName","PicPreferredNameM","PicPreferredNameF","PicPreferredNameJ","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","Source","AuthorRef","Remark","TaxIssue","Fresh","Brack","Saltwater","DemersPelag","Amphibious","AmphibiousRef","AnaCat","MigratRef","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","Pic","PictureFemale","LarvaPic","EggPic","ImportanceRef","Importance","PriceCateg","PriceReliability","Remarks7","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","UsedasBait","BaitRef","Aquarium","AquariumFishII","AquariumRef","GameFish","GameRef","Dangerous","DangerousRef","Electrogenic","ElectroRef","Complete","GoogleImage","Comments","Profile","PD50","Emblematic","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"1",1,"MARIAN","Guam","ABSO","Abudefduf sordidus","Pomacentridae","PRIMARY",5689,"Abudefduf",7247,"(Forssk<e5>l, 1775)","Blackspot sergeant","Absor_u0.jpg",NA,NA,NA,350,"Pomacentrinae",7803,NA,"short and / or deep","R",NA,NA,0,0,-1,-1,"reef-associated",NA,NA,"non-migratory",NA,0,3,4391,NA,NA,NA,NA,NA,9,52465,32,24,"TL",NA,NA,90102,NA,NA,NA,NA,NA,NA,NA,NA,"ABSOR_U4",NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,-1,-1,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Inhabit rocky lagoons, reef flat shorelines and piers subject to mild surge; juveniles are common in tide pools (Ref. 9710).  Benthopelagic (Ref. 58302).  Occasionally form schools.  Feed on algae, crustaceans and other invertebrates during the day.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Highly territorial (Ref. 9710).  Utilized as a food fish by the Hawaiians (Ref. 7364).",NA,0.5,0,14,708220800,2310,1366848000,34,776304000,NA
"2",2,"MARIAN","Guam","ABSP","Abudefduf septemfasciatus","Pomacentridae","PRIMARY",5687,"Abudefduf",7247,"(Cuvier, 1830)","Banded sergeant","Absep_u0.jpg",NA,NA,NA,350,"Pomacentrinae",7803,NA,"short and / or deep","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,"non-migratory",NA,0,3,4391,NA,NA,NA,NA,NA,NA,NA,31.03,23,"TL",NA,NA,4391,NA,NA,NA,NA,NA,NA,NA,NA,"ABSEP_U2",NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,NA,NA,NA,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Adults inhabit lagoon and outer reefs in shallow areas exposed to mild or moderate surge.  Feed on benthic algae and small invertebrates (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Highly territorial (Ref. 9710).",NA,0.5,0,14,708220800,2,1310688000,113,855273600,NA
"3",3,"MARIAN","Guam","ABSX","Abudefduf sexfasciatus","Pomacentridae","PLANKTIVORE",5688,"Abudefduf",7247,"(Lacep<e8>de, 1801)","Scissortail sergeant","Absex_u0.jpg",NA,NA,NA,350,"Pomacentrinae",7803,NA,"short and / or deep","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,"non-migratory",NA,1,20,58652,NA,NA,NA,NA,NA,NA,NA,28.6,19,"TL",NA,NA,90102,NA,NA,NA,NA,NA,NA,NA,NA,"ABSEX_U6",NA,NA,NA,NA,"minor commercial","unknown",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"public aquariums","based mainly on capture",13603,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Adults inhabit inshore and offshore coral or rocky reefs.  Also in shallow coastal reef flats or crests, usually where lots of tall soft corals or hydroid colonies are present (Ref. 48636).  Often found in groups feeding at midwater or tending nests among rocks and coral ledges (Ref. 90102).  Feed on zooplankton and algae and aggregates high in the water column (Ref. 9710).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).",NA,0.5,0,14,708220800,2310,1366848000,65,777254400,NA
"4",4,"MARIAN","Guam","ABVA","Abudefduf vaigiensis","Pomacentridae","PLANKTIVORE",6630,"Abudefduf",7247,"(Quoy & Gaimard, 1825)","Indo-Pacific sergeant","Abvai_u9.jpg",NA,NA,NA,350,"Pomacentrinae",7803,NA,"short and / or deep","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,"oceanodromous",51243,1,15,30874,NA,NA,NA,NA,NA,NA,NA,15.82,20,"TL",NA,NA,4391,NA,NA,NA,NA,NA,NA,NA,NA,"ABVAI_U8",NA,NA,NA,NA,"subsistence fisheries","unknown",NA,NA,NA,NA,NA,NA,0,-1,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",NA,0,NA,"reports of ciguatera poisoning",30303,"no special ability",NA,NA,-1,"Adults inhabit upper edge of outer reef slopes and inshore rocky reefs.  Juveniles associated with drifting seaweed (Ref. 12114, 12115).  Benthopelagic (Ref. 58302).  Feed on  zooplankton, benthic algae, and small invertebrates (Ref. 1602).  Often in aggregations (Ref. 9710) feeding at midwater or tending nests among rocks and coral ledges (Ref. 90102).  In large numbers at spawning sites that are timed with large tides that carry their pelagic offspring far offshore (Ref. 48636).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).",NA,0.5,0,14,722822400,2310,1366848000,1,797558400,NA
"5",5,"MARIAN","Guam","ACAC","Acanthurus achilles","Acanthuridae","PRIMARY",4306,"Acanthurus",1920,"Shaw, 1803","Achilles tang","Acach_u8.jpg",NA,NA,NA,412,"Acanthurinae",9710,NA,"short and / or deep","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,0,10,27115,0,4,9710,NA,NA,NA,NA,24.17,24,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"ACACH_U1",NA,NA,NA,7364,"commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"traumatogenic",4690,"no special ability",NA,NA,-1,"Occurs in clear seaward reefs, usually in groups (Ref. 9710).  Benthopelagic (Ref. 58302).  Feeds on filamentous and small fleshy algae (Ref. 9267).  Monogamous (Ref. 52884).  Spine in caudal peduncle may be venomous.  Size of metamorphosis from postlarva stage to juvenile is 6 cm (Ref. 9267).  This species sometimes hybridizes with <i>A. nigricans</i> (Ref. 9808).",NA,0.5,0,1,674870400,1472,1201046400,113,802569600,NA
"6",6,"MARIAN","Guam","ACBL","Acanthurus blochii","Acanthuridae","PRIMARY",4750,"Acanthurus",1921,"Valenciennes, 1835","Ringtail surgeonfish","Acblo_u0.jpg",NA,NA,NA,412,"Acanthurinae",9710,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,2,15,90102,NA,NA,NA,35,52229,NA,NA,38.32,45,"SL",NA,NA,48637,NA,NA,NA,NA,NA,NA,NA,NA,"ACBLO_U0",NA,NA,NA,9070,"commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"various gears",NA,0,0,0,-1,0,-1,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Adults occur in outer lagoon and seaward reefs, usually seen in small groups and school in some oceanic locations (Ref. 48637).  Benthopelagic (Ref. 58302).  They feed primarily on the algal film covering compacted sand, ingesting the usual component of sand which probably aids in the trituration of the algal food in the thick-walled stomach, also feed on diatoms and detritus (Ref. 3921).",NA,0.5,0,14,691113600,2,1393977600,14,777945600,NA
"7",7,"MARIAN","Guam","ACGU","Acanthurus guttatus","Acanthuridae","PRIMARY",4736,"Acanthurus",1920,"Forster, 1801","Whitespotted surgeonfish","Acgut_u0.jpg",NA,NA,NA,412,"Acanthurinae",9710,NA,"short and / or deep","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,0,8,89972,NA,NA,NA,NA,NA,NA,NA,25.02,26,"TL",NA,NA,9710,NA,NA,NA,NA,NA,NA,NA,NA,"ACGUT_U0",NA,NA,NA,7364,"commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,-1,0,0,-1,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Occurs in surge zone of clear seaward reefs (Ref. 9710, 58302).  Benthopelagic (Ref. 58302); mainly oceanic and found schooling in shallow depths over reef flats subject to surge or currents (Ref. 48637).  Browses on filamentous and calcareous algae.  Forms schools.",NA,0.5,0,14,691113600,14,1413763200,14,777945600,NA
"8",8,"MARIAN","Guam","ACLI","Acanthurus lineatus","Acanthuridae","PRIMARY",1258,"Acanthurus",3145,"(Linnaeus, 1758)","Lined surgeonfish","Aclin_ud.jpg",NA,NA,NA,412,"Acanthurinae",9710,NA,"short and / or deep","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,0,15,27115,1,3,37792,46,27143,NA,NA,22.89,38,"TL",NA,NA,3145,25,"TL",NA,NA,30573,NA,NA,NA,"ACLIN_U2",NA,NA,NA,9391,"commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"various gears",NA,0,-1,0,-1,-1,0,0,0,-1,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",4907,0,NA,"venomous",4821,"no special ability",NA,NA,-1,"A territorial species (Ref. 167) which is common in surge zones of exposed seaward reefs.  The large male controls well-defined feeding territories and harems of females (Ref. 1602, 48637).  Benthopelagic (Ref. 58302).  Adults usually form schools and commonly found in shallow gutters.  Juveniles solitary and secretive on shallow rubble habitats (Ref. 48637).  The species is almost continually in motion.  Herbivorous but also feeds on crustaceans (Ref. 5503).  The venomous caudal spine can cause painful wounds.  Forms spawning aggregations (Ref. 27825).",NA,0.5,0,2,656121600,2,1545177600,14,777945600,NA
"9",9,"MARIAN","Guam","ACNC","Acanthurus nigricans","Acanthuridae","PRIMARY",6011,"Acanthurus",1602,"(Linnaeus, 1758)","Whitecheek surgeonfish","Acnig_u0.jpg",NA,NA,NA,412,"Acanthurinae",9710,NA,"short and / or deep","O",NA,NA,0,0,0,-1,"reef-associated",NA,NA,NA,NA,1,67,1602,2,67,27115,34,52229,NA,NA,20.49,21.3,"TL",NA,NA,2334,NA,NA,NA,NA,NA,NA,NA,NA,"ACNIG_UE",NA,NA,NA,9267,"subsistence fisheries","medium","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,NA,NA,0,-1,0,-1,0,0,0,0,0,0,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"harmless",NA,"no special ability",NA,NA,-1,"Adults inhabit hard substrate areas of clear lagoon and seaward reefs from the lower surge zone to at least 67 m and feeds on filamentous algae. Solitary or in groups (Ref. 90102).  Monogamous (Ref. 52884, 48637).  Benthopelagic (Ref. 58302).  Small juveniles shy among large corals (Ref. 48637).  Territorial species.  Common throughout Micronesia and hybridizes with the rare <i>A. achilles</i>.  Size of metamorphosis from the postlarva stage to juvenile is 5.5 to 6 cm (Ref. 9267).",NA,0.5,0,14,711158400,10,1517356800,113,802569600,NA
"10",10,"MARIAN","Guam","ACNF","Acanthurus nigrofuscus","Acanthuridae","PRIMARY",4739,"Acanthurus",1920,"(Forssk<e5>l, 1775)","Brown surgeonfish","Acnig_uq.jpg",NA,NA,NA,412,"Acanthurinae",9710,NA,"short and / or deep","R",NA,NA,0,0,0,-1,"reef-associated",NA,NA,"non-migratory",56001,0,25,48637,2,25,27115,NA,NA,NA,NA,27.14,21,"TL",NA,NA,30573,NA,NA,NA,NA,NA,NA,NA,NA,"ACNIG_U2",NA,NA,NA,NA,"commercial","medium","Very questionable: based on ex-vessel price for species in this family",NA,NA,NA,"various gears",NA,0,0,0,-1,0,0,0,0,0,-1,"never/rarely",NA,NA,"never/rarely",NA,"commercial","based mainly on capture",5358,0,NA,"reports of ciguatera poisoning",31637,"no special ability",NA,NA,-1,"Found on hard substrates of shallow lagoon and seaward reefs from the lower surge zone to a depth of more than 15 m (Ref. 27825).  Benthopelagic (Ref. 58302).  Feed on filamentous algae.  Form spawning aggregations (Ref. 27825, 48637).  Adults usually in small groups, but form large schools in some oceanic locations.  Juveniles are often seen in mixed species aggregations (Ref. 48637).  Species at the bottom of the 'pecking order' among surgeon fishes, and as a result employs the strategy of feeding in large schools that overwhelm the territorial defenses of other herbivores (Ref. 1602).  Caught with nets (Ref. 30573).  Can be eaten both raw and cooked (Ref. 7364).  Maximum depth reported at 25m (Ref. 027115)",NA,0.5,0,14,691113600,2,1489536000,14,777945600,NA
